GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9STR4	ACS7	GO:0005515	protein binding	F
UniProtKB	Q9STR4	ACS7	GO:0030170	pyridoxal phosphate binding	F
UniProtKB	Q9STR4	ACS7	GO:0003824	catalytic activity	F
UniProtKB	Q9STR4	ACS7	GO:0009058	biosynthetic process	P
UniProtKB	Q9STR4	ACS7	GO:0009835	fruit ripening	P
UniProtKB	Q9STR4	ACS7	GO:0009693	ethylene biosynthetic process	P
UniProtKB	Q9STR4	ACS7	GO:0016829	lyase activity	F
UniProtKB	Q9STR4	ACS7	GO:0016847	1-aminocyclopropane-1-carboxylate synthase activity	F
UniProtKB	Q9STR4	ACS7	GO:0005515	protein binding	F
UniProtKB	Q9STR4	ACS7	GO:0016847	1-aminocyclopropane-1-carboxylate synthase activity	F
UniProtKB	Q9STR4	ACS7	GO:0009693	ethylene biosynthetic process	P
UniProtKB	Q9STR4	ACS7	GO:0005515	protein binding	F
UniProtKB	Q9STR4	ACS7	GO:0042802	identical protein binding	F
UniProtKB	Q9STR4	ACS7	GO:0016847	1-aminocyclopropane-1-carboxylate synthase activity	F
UniProtKB	Q9STR4	ACS7	GO:0042218	1-aminocyclopropane-1-carboxylate biosynthetic process	P
UniProtKB	Q9STR4	ACS7	GO:0042218	1-aminocyclopropane-1-carboxylate biosynthetic process	P
UniProtKB	Q9STR4	ACS7	GO:0042218	1-aminocyclopropane-1-carboxylate biosynthetic process	P
UniProtKB	Q9STR4	ACS7	GO:0009693	ethylene biosynthetic process	P
