GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q0V7X4	FIT	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	Q0V7X4	FIT	GO:0043565	sequence-specific DNA binding	F
UniProtKB	Q0V7X4	FIT	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q0V7X4	FIT	GO:0005634	nucleus	C
UniProtKB	Q0V7X4	FIT	GO:0046983	protein dimerization activity	F
UniProtKB	Q0V7X4	FIT	GO:0005634	nucleus	C
UniProtKB	Q0V7X4	FIT	GO:0003677	DNA binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0034756	regulation of iron ion transport	P
UniProtKB	Q0V7X4	FIT	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q0V7X4	FIT	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q0V7X4	FIT	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	Q0V7X4	FIT	GO:0010039	response to iron ion	P
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005515	protein binding	F
UniProtKB	Q0V7X4	FIT	GO:0005634	nucleus	C
