GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q42328	ATTI1	GO:0009405	pathogenesis	P
UniProtKB	Q42328	ATTI1	GO:0019871	sodium channel inhibitor activity	F
UniProtKB	Q42328	ATTI1	GO:0005576	extracellular region	C
UniProtKB	Q42328	ATTI1	GO:0006952	defense response	P
UniProtKB	Q42328	ATTI1	GO:0008200	ion channel inhibitor activity	F
UniProtKB	Q42328	ATTI1	GO:0031640	killing of cells of other organism	P
UniProtKB	Q42328	ATTI1	GO:0005576	extracellular region	C
UniProtKB	Q42328	ATTI1	GO:0006952	defense response	P
UniProtKB	Q42328	ATTI1	GO:0050832	defense response to fungus	P
UniProtKB	Q42328	ATTI1	GO:0006952	defense response	P
UniProtKB	Q42328	ATTI1	GO:0004867	serine-type endopeptidase inhibitor activity	F
UniProtKB	Q42328	ATTI1	GO:0099503	secretory vesicle	C
UniProtKB	Q42328	ATTI1	GO:0050832	defense response to fungus	P
UniProtKB	Q42328	ATTI1	GO:0005576	extracellular region	C
UniProtKB	Q42328	ATTI1	GO:0010951	negative regulation of endopeptidase activity	P
