GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q93Z30	At4g18950	GO:0004672	protein kinase activity	F
UniProtKB	Q93Z30	At4g18950	GO:0004674	protein serine/threonine kinase activity	F
UniProtKB	Q93Z30	At4g18950	GO:0005524	ATP binding	F
UniProtKB	Q93Z30	At4g18950	GO:0004672	protein kinase activity	F
UniProtKB	Q93Z30	At4g18950	GO:0006468	protein phosphorylation	P
UniProtKB	Q93Z30	At4g18950	GO:0016301	kinase activity	F
UniProtKB	Q93Z30	At4g18950	GO:0007229	integrin-mediated signaling pathway	P
UniProtKB	Q93Z30	At4g18950	GO:0016310	phosphorylation	P
UniProtKB	Q93Z30	At4g18950	GO:0005515	protein binding	F
UniProtKB	Q93Z30	At4g18950	GO:0005515	protein binding	F
UniProtKB	Q93Z30	At4g18950	GO:0005634	nucleus	C
UniProtKB	Q93Z30	At4g18950	GO:0005737	cytoplasm	C
UniProtKB	Q93Z30	At4g18950	GO:0005829	cytosol	C
UniProtKB	Q93Z30	At4g18950	GO:0005829	cytosol	C
UniProtKB	Q93Z30	At4g18950	GO:0004672	protein kinase activity	F
UniProtKB	Q93Z30	At4g18950	GO:0004712	protein serine/threonine/tyrosine kinase activity	F
UniProtKB	Q93Z30	At4g18950	GO:0010119	regulation of stomatal movement	P
