GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q8LFR2	DREB2C	GO:0045893	positive regulation of transcription, DNA-templated	P
UniProtKB	Q8LFR2	DREB2C	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	Q8LFR2	DREB2C	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q8LFR2	DREB2C	GO:0005634	nucleus	C
UniProtKB	Q8LFR2	DREB2C	GO:0003677	DNA binding	F
UniProtKB	Q8LFR2	DREB2C	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q8LFR2	DREB2C	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	Q8LFR2	DREB2C	GO:0005634	nucleus	C
UniProtKB	Q8LFR2	DREB2C	GO:0009738	abscisic acid-activated signaling pathway	P
UniProtKB	Q8LFR2	DREB2C	GO:0003677	DNA binding	F
UniProtKB	Q8LFR2	DREB2C	GO:0005515	protein binding	F
UniProtKB	Q8LFR2	DREB2C	GO:0010286	heat acclimation	P
UniProtKB	Q8LFR2	DREB2C	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q8LFR2	DREB2C	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q8LFR2	DREB2C	GO:0009737	response to abscisic acid	P
UniProtKB	Q8LFR2	DREB2C	GO:0005634	nucleus	C
