GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	O80542	ERF019	GO:0003677	DNA binding	F
UniProtKB	O80542	ERF019	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	O80542	ERF019	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	O80542	ERF019	GO:0005634	nucleus	C
UniProtKB	O80542	ERF019	GO:0009873	ethylene-activated signaling pathway	P
UniProtKB	O80542	ERF019	GO:0003677	DNA binding	F
UniProtKB	O80542	ERF019	GO:0042631	cellular response to water deprivation	P
UniProtKB	O80542	ERF019	GO:0005634	nucleus	C
UniProtKB	O80542	ERF019	GO:0005634	nucleus	C
UniProtKB	O80542	ERF019	GO:0005737	cytoplasm	C
UniProtKB	O80542	ERF019	GO:0005737	cytoplasm	C
UniProtKB	O80542	ERF019	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	O80542	ERF019	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80542	ERF019	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80542	ERF019	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80542	ERF019	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80542	ERF019	GO:0009620	response to fungus	P
UniProtKB	O80542	ERF019	GO:0005634	nucleus	C
