GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9SXZ2	FT	GO:0005515	protein binding	F
UniProtKB	Q9SXZ2	FT	GO:0005515	protein binding	F
UniProtKB	Q9SXZ2	FT	GO:0030154	cell differentiation	P
UniProtKB	Q9SXZ2	FT	GO:0007275	multicellular organism development	P
UniProtKB	Q9SXZ2	FT	GO:0005634	nucleus	C
UniProtKB	Q9SXZ2	FT	GO:0009908	flower development	P
UniProtKB	Q9SXZ2	FT	GO:0005737	cytoplasm	C
UniProtKB	Q9SXZ2	FT	GO:0005783	endoplasmic reticulum	C
UniProtKB	Q9SXZ2	FT	GO:0005515	protein binding	F
UniProtKB	Q9SXZ2	FT	GO:0048573	photoperiodism, flowering	P
UniProtKB	Q9SXZ2	FT	GO:0005634	nucleus	C
UniProtKB	Q9SXZ2	FT	GO:0005737	cytoplasm	C
UniProtKB	Q9SXZ2	FT	GO:0008429	phosphatidylethanolamine binding	F
UniProtKB	Q9SXZ2	FT	GO:0010119	regulation of stomatal movement	P
UniProtKB	Q9SXZ2	FT	GO:0010022	meristem determinacy	P
UniProtKB	Q9SXZ2	FT	GO:0009911	positive regulation of flower development	P
UniProtKB	Q9SXZ2	FT	GO:0009911	positive regulation of flower development	P
UniProtKB	Q9SXZ2	FT	GO:0009909	regulation of flower development	P
UniProtKB	Q9SXZ2	FT	GO:0005515	protein binding	F
UniProtKB	Q9SXZ2	FT	GO:0005515	protein binding	F
UniProtKB	Q9SXZ2	FT	GO:0005515	protein binding	F
UniProtKB	Q9SXZ2	FT	GO:0005634	nucleus	C
UniProtKB	Q9SXZ2	FT	GO:0005737	cytoplasm	C
UniProtKB	Q9SXZ2	FT	GO:0005783	endoplasmic reticulum	C
