GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q6NMS0	GSTU12	GO:0005737	cytoplasm	C
UniProtKB	Q6NMS0	GSTU12	GO:0004364	glutathione transferase activity	F
UniProtKB	Q6NMS0	GSTU12	GO:0006749	glutathione metabolic process	P
UniProtKB	Q6NMS0	GSTU12	GO:0006749	glutathione metabolic process	P
UniProtKB	Q6NMS0	GSTU12	GO:0005634	nucleus	C
UniProtKB	Q6NMS0	GSTU12	GO:0009636	response to toxic substance	P
UniProtKB	Q6NMS0	GSTU12	GO:0016740	transferase activity	F
UniProtKB	Q6NMS0	GSTU12	GO:0004364	glutathione transferase activity	F
UniProtKB	Q6NMS0	GSTU12	GO:0009407	toxin catabolic process	P
UniProtKB	Q6NMS0	GSTU12	GO:0005737	cytoplasm	C
UniProtKB	Q6NMS0	GSTU12	GO:0004364	glutathione transferase activity	F
UniProtKB	Q6NMS0	GSTU12	GO:0006749	glutathione metabolic process	P
UniProtKB	Q6NMS0	GSTU12	GO:0005634	nucleus	C
