GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	O80982	HSFA2	GO:0006357	regulation of transcription by RNA polymerase II	P
UniProtKB	O80982	HSFA2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	F
UniProtKB	O80982	HSFA2	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	O80982	HSFA2	GO:0005634	nucleus	C
UniProtKB	O80982	HSFA2	GO:0034605	cellular response to heat	P
UniProtKB	O80982	HSFA2	GO:0005515	protein binding	F
UniProtKB	O80982	HSFA2	GO:0005515	protein binding	F
UniProtKB	O80982	HSFA2	GO:0010286	heat acclimation	P
UniProtKB	O80982	HSFA2	GO:0005634	nucleus	C
UniProtKB	O80982	HSFA2	GO:0045893	positive regulation of transcription, DNA-templated	P
UniProtKB	O80982	HSFA2	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	O80982	HSFA2	GO:0043565	sequence-specific DNA binding	F
UniProtKB	O80982	HSFA2	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	O80982	HSFA2	GO:0005634	nucleus	C
UniProtKB	O80982	HSFA2	GO:0005737	cytoplasm	C
UniProtKB	O80982	HSFA2	GO:0003677	DNA binding	F
UniProtKB	O80982	HSFA2	GO:0042542	response to hydrogen peroxide	P
UniProtKB	O80982	HSFA2	GO:0010200	response to chitin	P
UniProtKB	O80982	HSFA2	GO:0009408	response to heat	P
UniProtKB	O80982	HSFA2	GO:0009408	response to heat	P
UniProtKB	O80982	HSFA2	GO:0034620	cellular response to unfolded protein	P
UniProtKB	O80982	HSFA2	GO:0034620	cellular response to unfolded protein	P
UniProtKB	O80982	HSFA2	GO:0034605	cellular response to heat	P
UniProtKB	O80982	HSFA2	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	O80982	HSFA2	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80982	HSFA2	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80982	HSFA2	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80982	HSFA2	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80982	HSFA2	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80982	HSFA2	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O80982	HSFA2	GO:0001666	response to hypoxia	P
UniProtKB	O80982	HSFA2	GO:0045893	positive regulation of transcription, DNA-templated	P
UniProtKB	O80982	HSFA2	GO:0071456	cellular response to hypoxia	P
UniProtKB	O80982	HSFA2	GO:0071456	cellular response to hypoxia	P
UniProtKB	O80982	HSFA2	GO:0005634	nucleus	C
UniProtKB	O80982	HSFA2	GO:0005737	cytoplasm	C
