GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	P19036	HSP17.4A	GO:0051082	unfolded protein binding	F
UniProtKB	P19036	HSP17.4A	GO:0051259	protein complex oligomerization	P
UniProtKB	P19036	HSP17.4A	GO:0006457	protein folding	P
UniProtKB	P19036	HSP17.4A	GO:0042542	response to hydrogen peroxide	P
UniProtKB	P19036	HSP17.4A	GO:0043621	protein self-association	F
UniProtKB	P19036	HSP17.4A	GO:0009651	response to salt stress	P
UniProtKB	P19036	HSP17.4A	GO:0009408	response to heat	P
UniProtKB	P19036	HSP17.4A	GO:0005515	protein binding	F
UniProtKB	P19036	HSP17.4A	GO:0005737	cytoplasm	C
UniProtKB	P19036	HSP17.4A	GO:0009408	response to heat	P
UniProtKB	P19036	HSP17.4A	GO:0071456	cellular response to hypoxia	P
UniProtKB	P19036	HSP17.4A	GO:0005737	cytoplasm	C
