GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9M9Q9	PER5	GO:0020037	heme binding	F
UniProtKB	Q9M9Q9	PER5	GO:0006979	response to oxidative stress	P
UniProtKB	Q9M9Q9	PER5	GO:0004601	peroxidase activity	F
UniProtKB	Q9M9Q9	PER5	GO:0042744	hydrogen peroxide catabolic process	P
UniProtKB	Q9M9Q9	PER5	GO:0005576	extracellular region	C
UniProtKB	Q9M9Q9	PER5	GO:0004601	peroxidase activity	F
UniProtKB	Q9M9Q9	PER5	GO:0016491	oxidoreductase activity	F
UniProtKB	Q9M9Q9	PER5	GO:0046872	metal ion binding	F
UniProtKB	Q9M9Q9	PER5	GO:0071456	cellular response to hypoxia	P
UniProtKB	Q9M9Q9	PER5	GO:0005576	extracellular region	C
UniProtKB	Q9M9Q9	PER5	GO:0098869	cellular oxidant detoxification	P
UniProtKB	Q9M9Q9	PER5	GO:0098869	cellular oxidant detoxification	P
