GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q8GXN2	NPF7.2	GO:0022857	transmembrane transporter activity	F
UniProtKB	Q8GXN2	NPF7.2	GO:0016020	membrane	C
UniProtKB	Q8GXN2	NPF7.2	GO:0055085	transmembrane transport	P
UniProtKB	Q8GXN2	NPF7.2	GO:0015293	symporter activity	F
UniProtKB	Q8GXN2	NPF7.2	GO:0042128	nitrate assimilation	P
UniProtKB	Q8GXN2	NPF7.2	GO:0005886	plasma membrane	C
UniProtKB	Q8GXN2	NPF7.2	GO:0016020	membrane	C
UniProtKB	Q8GXN2	NPF7.2	GO:0016021	integral component of membrane	C
UniProtKB	Q8GXN2	NPF7.2	GO:0010167	response to nitrate	P
UniProtKB	Q8GXN2	NPF7.2	GO:0005886	plasma membrane	C
UniProtKB	Q8GXN2	NPF7.2	GO:0005886	plasma membrane	C
UniProtKB	Q8GXN2	NPF7.2	GO:0005886	plasma membrane	C
UniProtKB	Q8GXN2	NPF7.2	GO:0046686	response to cadmium ion	P
UniProtKB	Q8GXN2	NPF7.2	GO:0015112	nitrate transmembrane transporter activity	F
UniProtKB	Q8GXN2	NPF7.2	GO:0005886	plasma membrane	C
UniProtKB	Q8GXN2	NPF7.2	GO:0015706	nitrate transport	P
