GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9SLD4	ZAT11	GO:0010200	response to chitin	P
UniProtKB	Q9SLD4	ZAT11	GO:0005634	nucleus	C
UniProtKB	Q9SLD4	ZAT11	GO:0046872	metal ion binding	F
UniProtKB	Q9SLD4	ZAT11	GO:0010200	response to chitin	P
UniProtKB	Q9SLD4	ZAT11	GO:0005634	nucleus	C
UniProtKB	Q9SLD4	ZAT11	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	Q9SLD4	ZAT11	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	Q9SLD4	ZAT11	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	Q9SLD4	ZAT11	GO:2000280	regulation of root development	P
UniProtKB	Q9SLD4	ZAT11	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	Q9SLD4	ZAT11	GO:0071289	cellular response to nickel ion	P
UniProtKB	Q9SLD4	ZAT11	GO:0005634	nucleus	C
