GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9XIE3	HSP17.6A	GO:0051082	unfolded protein binding	F
UniProtKB	Q9XIE3	HSP17.6A	GO:0051259	protein complex oligomerization	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0006457	protein folding	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0042542	response to hydrogen peroxide	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0043621	protein self-association	F
UniProtKB	Q9XIE3	HSP17.6A	GO:0009651	response to salt stress	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0009408	response to heat	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0005515	protein binding	F
UniProtKB	Q9XIE3	HSP17.6A	GO:0009408	response to heat	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0006970	response to osmotic stress	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0006457	protein folding	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0009651	response to salt stress	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0051259	protein complex oligomerization	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0005737	cytoplasm	C
UniProtKB	Q9XIE3	HSP17.6A	GO:0071456	cellular response to hypoxia	P
UniProtKB	Q9XIE3	HSP17.6A	GO:0005737	cytoplasm	C
