GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9LXM2	CAF1-9	GO:0043928	exonucleolytic catabolism of deadenylated mRNA	P
UniProtKB	Q9LXM2	CAF1-9	GO:0000932	P-body	C
UniProtKB	Q9LXM2	CAF1-9	GO:0004535	poly(A)-specific ribonuclease activity	F
UniProtKB	Q9LXM2	CAF1-9	GO:0030015	CCR4-NOT core complex	C
UniProtKB	Q9LXM2	CAF1-9	GO:0017148	negative regulation of translation	P
UniProtKB	Q9LXM2	CAF1-9	GO:0030014	CCR4-NOT complex	C
UniProtKB	Q9LXM2	CAF1-9	GO:0004535	poly(A)-specific ribonuclease activity	F
UniProtKB	Q9LXM2	CAF1-9	GO:0003676	nucleic acid binding	F
UniProtKB	Q9LXM2	CAF1-9	GO:0005634	nucleus	C
UniProtKB	Q9LXM2	CAF1-9	GO:0005737	cytoplasm	C
UniProtKB	Q9LXM2	CAF1-9	GO:0004518	nuclease activity	F
UniProtKB	Q9LXM2	CAF1-9	GO:0004527	exonuclease activity	F
UniProtKB	Q9LXM2	CAF1-9	GO:0016787	hydrolase activity	F
UniProtKB	Q9LXM2	CAF1-9	GO:0003723	RNA binding	F
UniProtKB	Q9LXM2	CAF1-9	GO:0046872	metal ion binding	F
UniProtKB	Q9LXM2	CAF1-9	GO:0004535	poly(A)-specific ribonuclease activity	F
UniProtKB	Q9LXM2	CAF1-9	GO:0005515	protein binding	F
UniProtKB	Q9LXM2	CAF1-9	GO:0008408	3'-5' exonuclease activity	F
UniProtKB	Q9LXM2	CAF1-9	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	P
UniProtKB	Q9LXM2	CAF1-9	GO:0002213	defense response to insect	P
UniProtKB	Q9LXM2	CAF1-9	GO:0009611	response to wounding	P
UniProtKB	Q9LXM2	CAF1-9	GO:0042742	defense response to bacterium	P
UniProtKB	Q9LXM2	CAF1-9	GO:0005634	nucleus	C
UniProtKB	Q9LXM2	CAF1-9	GO:0005737	cytoplasm	C
UniProtKB	Q9LXM2	CAF1-9	GO:0090503	RNA phosphodiester bond hydrolysis, exonucleolytic	P
UniProtKB	Q9LXM2	CAF1-9	GO:0090503	RNA phosphodiester bond hydrolysis, exonucleolytic	P
UniProtKB	Q9LXM2	CAF1-9	GO:0090503	RNA phosphodiester bond hydrolysis, exonucleolytic	P
UniProtKB	Q9LXM2	CAF1-9	GO:0090305	nucleic acid phosphodiester bond hydrolysis	P
UniProtKB	Q9LXM2	CAF1-9	GO:0090305	nucleic acid phosphodiester bond hydrolysis	P
UniProtKB	Q9LXM2	CAF1-9	GO:0090305	nucleic acid phosphodiester bond hydrolysis	P
