GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	P16180	RPS17	GO:0005739	mitochondrion	C
UniProtKB	P16180	RPS17	GO:0003735	structural constituent of ribosome	F
UniProtKB	P16180	RPS17	GO:0005840	ribosome	C
UniProtKB	P16180	RPS17	GO:0003735	structural constituent of ribosome	F
UniProtKB	P16180	RPS17	GO:0006412	translation	P
UniProtKB	P16180	RPS17	GO:0019843	rRNA binding	F
UniProtKB	P16180	RPS17	GO:0003723	RNA binding	F
UniProtKB	P16180	RPS17	GO:0005840	ribosome	C
UniProtKB	P16180	RPS17	GO:0009536	plastid	C
UniProtKB	P16180	RPS17	GO:0009507	chloroplast	C
UniProtKB	P16180	RPS17	GO:0009534	chloroplast thylakoid	C
UniProtKB	P16180	RPS17	GO:0003729	mRNA binding	F
UniProtKB	P16180	RPS17	GO:0009941	chloroplast envelope	C
UniProtKB	P16180	RPS17	GO:0009570	chloroplast stroma	C
UniProtKB	P16180	RPS17	GO:0009570	chloroplast stroma	C
UniProtKB	P16180	RPS17	GO:0000312	plastid small ribosomal subunit	C
UniProtKB	P16180	RPS17	GO:0009507	chloroplast	C
UniProtKB	P16180	RPS17	GO:0009507	chloroplast	C
UniProtKB	P16180	RPS17	GO:0005739	mitochondrion	C
UniProtKB	P16180	RPS17	GO:0032544	plastid translation	P
UniProtKB	P16180	RPS17	GO:0009507	chloroplast	C
