GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q6NQN5	SWEET3	GO:0008643	carbohydrate transport	P
UniProtKB	Q6NQN5	SWEET3	GO:0016021	integral component of membrane	C
UniProtKB	Q6NQN5	SWEET3	GO:0051119	sugar transmembrane transporter activity	F
UniProtKB	Q6NQN5	SWEET3	GO:0005515	protein binding	F
UniProtKB	Q6NQN5	SWEET3	GO:0005515	protein binding	F
UniProtKB	Q6NQN5	SWEET3	GO:0005515	protein binding	F
UniProtKB	Q6NQN5	SWEET3	GO:0005887	integral component of plasma membrane	C
UniProtKB	Q6NQN5	SWEET3	GO:0051119	sugar transmembrane transporter activity	F
UniProtKB	Q6NQN5	SWEET3	GO:0016021	integral component of membrane	C
UniProtKB	Q6NQN5	SWEET3	GO:0005886	plasma membrane	C
UniProtKB	Q6NQN5	SWEET3	GO:0016020	membrane	C
UniProtKB	Q6NQN5	SWEET3	GO:0008643	carbohydrate transport	P
UniProtKB	Q6NQN5	SWEET3	GO:0016021	integral component of membrane	C
UniProtKB	Q6NQN5	SWEET3	GO:0005886	plasma membrane	C
UniProtKB	Q6NQN5	SWEET3	GO:0034219	carbohydrate transmembrane transport	P
UniProtKB	Q6NQN5	SWEET3	GO:0034219	carbohydrate transmembrane transport	P
