GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	O81002	bZIP6	GO:0045893	positive regulation of transcription, DNA-templated	P
UniProtKB	O81002	bZIP6	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O81002	bZIP6	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	O81002	bZIP6	GO:0005634	nucleus	C
UniProtKB	O81002	bZIP6	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	O81002	bZIP6	GO:0006355	regulation of transcription, DNA-templated	P
UniProtKB	O81002	bZIP6	GO:0005515	protein binding	F
UniProtKB	O81002	bZIP6	GO:0005634	nucleus	C
UniProtKB	O81002	bZIP6	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	O81002	bZIP6	GO:0003700	DNA-binding transcription factor activity	F
UniProtKB	O81002	bZIP6	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O81002	bZIP6	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O81002	bZIP6	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O81002	bZIP6	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O81002	bZIP6	GO:0000976	transcription regulatory region sequence-specific DNA binding	F
UniProtKB	O81002	bZIP6	GO:0005515	protein binding	F
UniProtKB	O81002	bZIP6	GO:0005515	protein binding	F
UniProtKB	O81002	bZIP6	GO:0005515	protein binding	F
UniProtKB	O81002	bZIP6	GO:0005515	protein binding	F
