Gene Id. ,Put1,Put2,Put3,Put avg Fold change,Put Log Fold change,P-val Put,tSpm1,tSpm2,tSpm3,tSpm avg Fold change,tSpm Log Fold change,P-val tSpm
AT1G22810,"34,46","29,22","27,08","30,25","4,92","2,55E-07","24,24","31,03","30,26","28,51","4,83","4,98E-07"
AT2G23270,"20,56","15,72","19,59","18,62","4,22","2,20E-08","28,56","20,24","20,38","23,06","4,53","1,69E-08"
AT1G25211,"16,90","14,70","14,95","15,52","3,96","3,08E-07","19,24","19,51","22,69","20,48","4,36","1,57E-06"
AT4G01630,"16,43","14,33","13,55","14,77","3,88","0,00E+00","17,39","16,01","16,14","16,52","4,05","0,00E+00"
AT1G05650,"16,29","11,11","12,82","13,41","3,75","0,00E+00","24,19","19,46","20,12","21,26","4,41","0,00E+00"
AT5G48430,"15,46","12,59","12,49","13,51","3,76","0,00E+00","26,93","18,95","26,00","23,96","4,58","0,00E+00"
AT5G40590,"12,25","12,84","13,19","12,76","3,67","0,00E+00","20,73","14,76","14,62","16,70","4,06","0,00E+00"
AT2G17740,"11,67","13,20","10,72","11,87","3,57","4,94E-08","3,12","0,97","1,33","1,81","0,85",
AT3G03265,"11,94","8,70","11,34","10,66","3,41","6,12E-09","0,70","0,57","1,90","1,05","0,08",
AT1G14550,"10,80","8,83","9,36","9,66","3,27","0,00E+00","12,58","10,23","12,03","11,62","3,54","0,00E+00"
AT1G67270,"9,88","8,16","9,16","9,06","3,18","1,26E-07","1,28","1,77","1,49","1,51","0,60",
AT1G25150,"8,97","7,33","8,61","8,30","3,05","3,68E-08","1,84","1,49","0,75","1,36","0,44",
AT1G36640,"8,55","7,49","8,21","8,08","3,01","1,11E-16","6,23","5,87","6,87","6,32","2,66","1,06E-10"
AT3G03965,"8,51","7,76","8,49","8,25","3,04","1,78E-11","1,84","1,82","1,73","1,80","0,85",
AT2G41260,"8,71","7,89","8,84","8,48","3,08","3,44E-08","2,72","0,83","2,04","1,86","0,90",
AT1G53233,"8,05","7,53","8,29","7,96","2,99","0,00E+00","1,30","1,98","1,20","1,49","0,58",
AT1G14540,"8,09","7,59","8,70","8,13","3,02","0,00E+00","13,57","9,44","10,11","11,04","3,46","0,00E+00"
AT1G53625,"8,32","7,54","8,58","8,14","3,03","0,00E+00","7,54","6,92","7,94","7,47","2,90","0,00E+00"
