"my_symbol","my_go"
"ACS7","GO:0005515"
"ACS7","GO:0030170"
"ACS7","GO:0003824"
"ACS7","GO:0009058"
"ACS7","GO:0009835"
"ACS7","GO:0009693"
"ACS7","GO:0016829"
"ACS7","GO:0016847"
"ACS7","GO:0042802"
"ACS7","GO:0042218"
"APR3","GO:0019419"
"APR3","GO:0016671"
"APR3","GO:0003824"
"APR3","GO:0019344"
"APR3","GO:0016491"
"APR3","GO:0046872"
"APR3","GO:0051536"
"APR3","GO:0051539"
"APR3","GO:0009536"
"APR3","GO:0008652"
"APR3","GO:0009507"
"APR3","GO:0033741"
"APR3","GO:0000103"
"APR3","GO:0009973"
"At1g05650","GO:0004650"
"At1g05650","GO:0005975"
"At1g05650","GO:0016787"
"At1g05650","GO:0016798"
"At1g05650","GO:0016829"
"At1g05650","GO:0005618"
"At1g05650","GO:0008152"
"At1g13520","GO:0005575"
"At1g13550","GO:0008150"
"At1g25211","GO:0005829"
"At1g30700","GO:0005618"
"At1g30700","GO:0016491"
"At1g30700","GO:0071949"
"At1g30700","GO:0050660"
"At1g30700","GO:0005576"
"At1g30700","GO:0000166"
"At1g36640","GO:0016021"
"At1g36640","GO:0008150"
"At2g19060","GO:0016788"
"At2g19060","GO:0016042"
"At2g19060","GO:0005576"
"At2g19060","GO:0016787"
"At2g19060","GO:0006629"
"At2g23270","GO:0016021"
"At2g23270","GO:0098542"
"At2g23270","GO:0071456"
"FIT","GO:0006355"
"FIT","GO:0043565"
"FIT","GO:0003700"
"FIT","GO:0005634"
"FIT","GO:0046983"
"FIT","GO:0003677"
"FIT","GO:0005515"
"FIT","GO:0034756"
"FIT","GO:0010039"
"At2g36690","GO:0051213"
"At2g36690","GO:0016491"
"At2g36690","GO:0046872"
"At2g36690","GO:0016706"
"At2g36690","GO:0009737"
"At2g36690","GO:0009686"
"At2g36690","GO:0009685"
"At2g43880","GO:0004650"
"At2g43880","GO:0005975"
"At2g43880","GO:0016787"
"At2g43880","GO:0016798"
"At2g43880","GO:0016829"
"At2g43880","GO:0005618"
"At2g43880","GO:0008152"
"At3g45840","GO:0046872"
