GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	P92980	APR3	GO:0019419	sulfate reduction	P
UniProtKB	P92980	APR3	GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	F
UniProtKB	P92980	APR3	GO:0003824	catalytic activity	F
UniProtKB	P92980	APR3	GO:0019344	cysteine biosynthetic process	P
UniProtKB	P92980	APR3	GO:0016491	oxidoreductase activity	F
UniProtKB	P92980	APR3	GO:0046872	metal ion binding	F
UniProtKB	P92980	APR3	GO:0051536	iron-sulfur cluster binding	F
UniProtKB	P92980	APR3	GO:0051539	4 iron, 4 sulfur cluster binding	F
UniProtKB	P92980	APR3	GO:0009536	plastid	C
UniProtKB	P92980	APR3	GO:0008652	cellular amino acid biosynthetic process	P
UniProtKB	P92980	APR3	GO:0009507	chloroplast	C
UniProtKB	P92980	APR3	GO:0033741	adenylyl-sulfate reductase (glutathione) activity	F
UniProtKB	P92980	APR3	GO:0000103	sulfate assimilation	P
UniProtKB	P92980	APR3	GO:0009507	chloroplast	C
UniProtKB	P92980	APR3	GO:0009507	chloroplast	C
UniProtKB	P92980	APR3	GO:0009973	adenylyl-sulfate reductase activity	F
UniProtKB	P92980	APR3	GO:0009507	chloroplast	C
UniProtKB	P92980	APR3	GO:0033741	adenylyl-sulfate reductase (glutathione) activity	F
