GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9ZSI1	EXPA17	GO:0010311	lateral root formation	P
UniProtKB	Q9ZSI1	EXPA17	GO:0009828	plant-type cell wall loosening	P
UniProtKB	Q9ZSI1	EXPA17	GO:0005576	extracellular region	C
UniProtKB	Q9ZSI1	EXPA17	GO:0009664	plant-type cell wall organization	P
UniProtKB	Q9ZSI1	EXPA17	GO:0005576	extracellular region	C
UniProtKB	Q9ZSI1	EXPA17	GO:0071555	cell wall organization	P
UniProtKB	Q9ZSI1	EXPA17	GO:0016020	membrane	C
UniProtKB	Q9ZSI1	EXPA17	GO:0005618	cell wall	C
UniProtKB	Q9ZSI1	EXPA17	GO:0005618	cell wall	C
UniProtKB	Q9ZSI1	EXPA17	GO:0016020	membrane	C
