GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9FZC4	FOX1	GO:0005618	cell wall	C
UniProtKB	Q9FZC4	FOX1	GO:0016491	oxidoreductase activity	F
UniProtKB	Q9FZC4	FOX1	GO:0071949	FAD binding	F
UniProtKB	Q9FZC4	FOX1	GO:0050660	flavin adenine dinucleotide binding	F
UniProtKB	Q9FZC4	FOX1	GO:0005783	endoplasmic reticulum	C
UniProtKB	Q9FZC4	FOX1	GO:0005576	extracellular region	C
UniProtKB	Q9FZC4	FOX1	GO:0016491	oxidoreductase activity	F
UniProtKB	Q9FZC4	FOX1	GO:0000166	nucleotide binding	F
UniProtKB	Q9FZC4	FOX1	GO:0005886	plasma membrane	C
UniProtKB	Q9FZC4	FOX1	GO:0016020	membrane	C
UniProtKB	Q9FZC4	FOX1	GO:0005618	cell wall	C
UniProtKB	Q9FZC4	FOX1	GO:0005783	endoplasmic reticulum	C
UniProtKB	Q9FZC4	FOX1	GO:0071456	cellular response to hypoxia	P
UniProtKB	Q9FZC4	FOX1	GO:0005886	plasma membrane	C
UniProtKB	Q9FZC4	FOX1	GO:0005618	cell wall	C
UniProtKB	Q9FZC4	FOX1	GO:0005783	endoplasmic reticulum	C
