GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9LJP1	GLIP4	GO:0016298	lipase activity	F
UniProtKB	Q9LJP1	GLIP4	GO:0016298	lipase activity	F
UniProtKB	Q9LJP1	GLIP4	GO:0016788	hydrolase activity, acting on ester bonds	F
UniProtKB	Q9LJP1	GLIP4	GO:0006629	lipid metabolic process	P
UniProtKB	Q9LJP1	GLIP4	GO:0016042	lipid catabolic process	P
UniProtKB	Q9LJP1	GLIP4	GO:0005576	extracellular region	C
UniProtKB	Q9LJP1	GLIP4	GO:0016787	hydrolase activity	F
UniProtKB	Q9LJP1	GLIP4	GO:0006629	lipid metabolic process	P
UniProtKB	Q9LJP1	GLIP4	GO:0016298	lipase activity	F
UniProtKB	Q9LJP1	GLIP4	GO:0005576	extracellular region	C
