GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q96511	PER69	GO:0009506	plasmodesma	C
UniProtKB	Q96511	PER69	GO:0004601	peroxidase activity	F
UniProtKB	Q96511	PER69	GO:0009505	plant-type cell wall	C
UniProtKB	Q96511	PER69	GO:0020037	heme binding	F
UniProtKB	Q96511	PER69	GO:0006979	response to oxidative stress	P
UniProtKB	Q96511	PER69	GO:0004601	peroxidase activity	F
UniProtKB	Q96511	PER69	GO:0042744	hydrogen peroxide catabolic process	P
UniProtKB	Q96511	PER69	GO:0005576	extracellular region	C
UniProtKB	Q96511	PER69	GO:0004601	peroxidase activity	F
UniProtKB	Q96511	PER69	GO:0016491	oxidoreductase activity	F
UniProtKB	Q96511	PER69	GO:0042744	hydrogen peroxide catabolic process	P
UniProtKB	Q96511	PER69	GO:0046872	metal ion binding	F
UniProtKB	Q96511	PER69	GO:0009506	plasmodesma	C
UniProtKB	Q96511	PER69	GO:0004601	peroxidase activity	F
UniProtKB	Q96511	PER69	GO:0003729	mRNA binding	F
UniProtKB	Q96511	PER69	GO:0005886	plasma membrane	C
UniProtKB	Q96511	PER69	GO:0005618	cell wall	C
UniProtKB	Q96511	PER69	GO:0005576	extracellular region	C
UniProtKB	Q96511	PER69	GO:0098869	cellular oxidant detoxification	P
UniProtKB	Q96511	PER69	GO:0098869	cellular oxidant detoxification	P
UniProtKB	Q96511	PER69	GO:0098869	cellular oxidant detoxification	P
UniProtKB	Q96511	PER69	GO:0098869	cellular oxidant detoxification	P
