GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	F4K627	UPI	GO:0009611	response to wounding	P
UniProtKB	F4K627	UPI	GO:0004867	serine-type endopeptidase inhibitor activity	F
UniProtKB	F4K627	UPI	GO:0010466	negative regulation of peptidase activity	P
UniProtKB	F4K627	UPI	GO:0030414	peptidase inhibitor activity	F
UniProtKB	F4K627	UPI	GO:0004867	serine-type endopeptidase inhibitor activity	F
UniProtKB	F4K627	UPI	GO:0006952	defense response	P
UniProtKB	F4K627	UPI	GO:0002213	defense response to insect	P
UniProtKB	F4K627	UPI	GO:0050832	defense response to fungus	P
UniProtKB	F4K627	UPI	GO:0010951	negative regulation of endopeptidase activity	P
UniProtKB	F4K627	UPI	GO:0010951	negative regulation of endopeptidase activity	P
