"","cod_punt","longitud","latitud","dseq","etott","iha","osc1","osc2","pin","po","pp","ptt","pv","sdef","ssup","ta","tmaxc","tmc","tmf","tminf","cur_md","ins","mde","orien","pte","arc","are","ca","cic","cod_hid","crad","lim","mo","mo_sup","n_sup","ph","ps","psb","textura","tf"
"cod_punt",NA,0,0,0,0.000384346238950117,0,1.77635683940025e-15,0.00124435553246682,0,0,0,0,0,0,0,0,0.102450830584023,0,1.40091712452772e-07,0.0281698506500125,0.0667305412568169,0.0212246347879468,4.04654088015377e-12,0.00543396012361974,1.80610637556811e-10,0,0,8.94306850796056e-12,0,0.153017715336936,1.27753453149637e-07,0,0,0,1.31215332421775e-06,0,0,5.44009282066327e-13,2.22044604925031e-16,0
"longitud",0,NA,0,0,0,0,0,0,0,0,0,0,0,0.461039514226603,0,0,0,0,0,0,0.0288841327521627,0,0,0.00160082970699915,0,0,0,4.44089209850063e-16,2.16558794008392e-07,0,0,0,0,0,3.99680288865056e-15,0,0,0,1.142673191179e-06,0
"latitud",0,0,NA,0,0,0,0,0,0.767930104333395,0.204895508118999,0,0,0,6.03543129695794e-07,0,0,0,0,0,0,7.98130052990231e-05,0.0119959541491346,1.29222036626686e-07,0.452930278359627,1.4149282376863e-06,0.319336867242473,3.00328939495387e-09,0,0,0,0,0,0,1.33226762955019e-15,0.595778296019207,0,0.166081634076374,0,0,0.374224680915416
"dseq",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31549442006218e-07,0,0,9.1191326516693e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"etott",0.000384346238950117,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126762106985367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733002666253303,1.90958360235527e-14,0
"iha",0,0,0,0,0,NA,2.66453525910038e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42143297723985e-06,0,0,0,9.86092212107437e-07,0,0,0,2.22044604925031e-16,0,0,0,0,0,0,0,0
"osc1",1.77635683940025e-15,0,0,0,0,2.66453525910038e-15,NA,0,0,0,0,0.600307276420003,0,2.4868926917776e-09,0,0,0,1.77324421697378e-05,0,0,2.97804739153307e-05,0,0,4.86758795492648e-07,0,0,0,0,0.00174943448896903,0,0,0,0,0,0.00169389975800227,0.88683471534102,0,2.7235300681383e-09,0.0180065533145051,0
"osc2",0.00124435553246682,0,0,0,0,0,0,NA,0,0,0,0.00121678562068017,0,0,0,0,0,0,0,0,1.98166816289813e-10,9.7875744962117e-06,0,0.00311673379846744,0.000143021014837652,0,0,0,1.21680443498917e-13,0,0,2.12227492046857e-05,0,5.96090754534373e-09,0,0,7.85758309529427e-08,0.237581515033219,0.00113751979873644,0.342809890997518
"pin",0,0,0.767930104333395,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.0858601632787674,4.44089209850063e-16,0,0,0.288792354173975,0,0,0,0,0,0.000247558520121149,0,0,0,0,0,0,0,0,0,0
"po",0,0,0.204895508118999,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1.32758648518916e-09,0,0,0,0.013716683421926,0,0,0,0,0,1.20807808201562e-10,0,0,0,0,0,0,0,0,0,0
"pp",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.75977348249035e-08,0,0,0,0,0,0,0,1.78345095802612e-06,0,0,0,0,0,0,0,0
"ptt",0,0,0,0,0,0,0.600307276420003,0.00121678562068017,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.00306711340697774,0,0,0,0,0,0,0,6.38879704695228e-09,0,0,0,0,0,0,0,0
