GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q9LVD6	CYP81F2	GO:0016020	membrane	C
UniProtKB	Q9LVD6	CYP81F2	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	F
UniProtKB	Q9LVD6	CYP81F2	GO:0005506	iron ion binding	F
UniProtKB	Q9LVD6	CYP81F2	GO:0020037	heme binding	F
UniProtKB	Q9LVD6	CYP81F2	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	F
UniProtKB	Q9LVD6	CYP81F2	GO:0006952	defense response	P
UniProtKB	Q9LVD6	CYP81F2	GO:0004497	monooxygenase activity	F
UniProtKB	Q9LVD6	CYP81F2	GO:0016491	oxidoreductase activity	F
UniProtKB	Q9LVD6	CYP81F2	GO:0046872	metal ion binding	F
UniProtKB	Q9LVD6	CYP81F2	GO:0016020	membrane	C
UniProtKB	Q9LVD6	CYP81F2	GO:0016021	integral component of membrane	C
UniProtKB	Q9LVD6	CYP81F2	GO:0042343	indole glucosinolate metabolic process	P
UniProtKB	Q9LVD6	CYP81F2	GO:0052544	defense response by callose deposition in cell wall	P
UniProtKB	Q9LVD6	CYP81F2	GO:0019760	glucosinolate metabolic process	P
UniProtKB	Q9LVD6	CYP81F2	GO:0002213	defense response to insect	P
UniProtKB	Q9LVD6	CYP81F2	GO:0009759	indole glucosinolate biosynthetic process	P
UniProtKB	Q9LVD6	CYP81F2	GO:0009682	induced systemic resistance	P
UniProtKB	Q9LVD6	CYP81F2	GO:0009617	response to bacterium	P
UniProtKB	Q9LVD6	CYP81F2	GO:0050832	defense response to fungus	P
UniProtKB	Q9LVD6	CYP81F2	GO:0050832	defense response to fungus	P
UniProtKB	Q9LVD6	CYP81F2	GO:0042742	defense response to bacterium	P
UniProtKB	Q9LVD6	CYP81F2	GO:0071456	cellular response to hypoxia	P
UniProtKB	Q9LVD6	CYP81F2	GO:0016020	membrane	C
