GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	GO ASPECT
UniProtKB	P42813	RNS1	GO:0005576	extracellular region	C
UniProtKB	P42813	RNS1	GO:0004521	endoribonuclease activity	F
UniProtKB	P42813	RNS1	GO:0006401	RNA catabolic process	P
UniProtKB	P42813	RNS1	GO:0033897	ribonuclease T2 activity	F
UniProtKB	P42813	RNS1	GO:0003723	RNA binding	F
UniProtKB	P42813	RNS1	GO:0004518	nuclease activity	F
UniProtKB	P42813	RNS1	GO:0004519	endonuclease activity	F
UniProtKB	P42813	RNS1	GO:0016787	hydrolase activity	F
UniProtKB	P42813	RNS1	GO:0016829	lyase activity	F
UniProtKB	P42813	RNS1	GO:0033897	ribonuclease T2 activity	F
UniProtKB	P42813	RNS1	GO:0005576	extracellular region	C
UniProtKB	P42813	RNS1	GO:0004540	ribonuclease activity	F
UniProtKB	P42813	RNS1	GO:0005886	plasma membrane	C
UniProtKB	P42813	RNS1	GO:0005618	cell wall	C
UniProtKB	P42813	RNS1	GO:0009867	jasmonic acid mediated signaling pathway	P
UniProtKB	P42813	RNS1	GO:0016036	cellular response to phosphate starvation	P
UniProtKB	P42813	RNS1	GO:0016036	cellular response to phosphate starvation	P
UniProtKB	P42813	RNS1	GO:0009718	anthocyanin-containing compound biosynthetic process	P
UniProtKB	P42813	RNS1	GO:0009611	response to wounding	P
UniProtKB	P42813	RNS1	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	P
UniProtKB	P42813	RNS1	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	P
UniProtKB	P42813	RNS1	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	P
UniProtKB	P42813	RNS1	GO:0090501	RNA phosphodiester bond hydrolysis	P
UniProtKB	P42813	RNS1	GO:0090305	nucleic acid phosphodiester bond hydrolysis	P
UniProtKB	P42813	RNS1	GO:0090305	nucleic acid phosphodiester bond hydrolysis	P
